prompt;output;latency_s;words_per_s
Calculate the error probability for BPSK at SNR 7 and rate 0.8.;### Instruction: Calculate the error probability for BPSK at SNR 7 and rate 0.8.;2.179;6.4
Find the error exponent if I use 8-PSK modulation with SNR 9, rate 0.5, and 5 quadrature nodes.;### Instruction: Find the error exponent if I use 8-PSK modulation with SNR 9, rate 0.5, and 5 quadrature nodes.;1.729;11.6
Plot the error probability versus SNR for 16-QAM, with M=16, N=1000, rate 0.6, and SNR from 0 to 15.;### Instruction: Plot the error probability versus SNR for 16-QAM, with M=16, N=1000, SNR=unknown, Rate 0.6);1.632;9.8
What is modulation in digital communications?;### Instruction: What is modulation in digital communications?;1.306;6.1
Compute the error exponent for QPSK when the rate is 0.9.;### Instruction: Compute the error exponent for QPSK when the rate is 0.9.;0.703;18.5
What does increasing block length N do to the probability of error?;### Instruction: What does increasing block length N do to the probability of error?;0.567;24.7
Show me the error probability curve for BPSK with M=2, N=500, over SNRs from 0 to 12.;### Instruction: Show me the error probability curve for BPSK with M=2, N=500, SNRs, Rates: 0 to 12.;0.989;18.2
How do I compute the error probability for 4-QAM at SNR 5, rate 0.7, N=200?;### Instruction: How do I compute the error probability for 4-QAM at SNR 5, rate 0.7, n=200?;1.493;11.4
What's the difference between error exponent and error probability?;### Instruction: What's the difference between error exponent and error probability?;0.884;12.4
If my system uses QPSK, SNR 10, and rate 0.6, what's the error exponent?;### Instruction: If my system uses QPSK, SNR 10, Rate 0.6, what's the error exponent?;0.936;16.0
Calculate error probability for 8-QAM at rate 0.5, using 7 quadrature nodes and N=300.;### Instruction: Calculate error probability for 8-QAM at rate 0.5, using 7 quadrature nodes and N=300 .;1.201;14.2
Explain what SNR means in digital communication.;### Instruction: Explain what SNR means in digital communication.;0.575;15.6
For BPSK, rate 0.8, N=400, and SNR 12, what's the error probability?;### Instruction: For BPSK, rate 0.8, and SNR 12, what's the error probability?;0.918;14.2
Show a plot of error exponent vs rate for 16-QAM, M=16, N=100, over rates 0.2 to 1.0.;### Instruction: Show a plot of error exponent vs rate for 16-QAM, M=16, N=100, SNR=unknown, Rate=0.2);1.219;13.1
